type	study.phs_accession	sample.sample_id	file_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityId	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA11_12900_2000009901		10169-XZ-0107_S1_L005_R2_001.fastq.gz	FASTQ	2028785824	ccf16f785e4c661e62ce2d2120b039df	WXS; RNA-Seq	syn55258805									
file	phs002371	HTA11_12910_2000009901		10169-XZ-0108_S1_L005_R1_001.fastq.gz	FASTQ	2677870489	ca6c3ca8022f86e57df0524a92f532f3	WXS; RNA-Seq	syn55258807									
file	phs002371	HTA11_12910_2000009901		10169-XZ-0108_S1_L005_R2_001.fastq.gz	FASTQ	2775138147	ee504e97987ad2d78dbe956a723f9ab8	WXS; RNA-Seq	syn55258810									
file	phs002371	HTA11_13109_2000009901		10169-XZ-0109_S1_L005_R1_001.fastq.gz	FASTQ	2545685486	bad47e131a52f137cac19af420fadc87	WXS; RNA-Seq	syn55258814									
file	phs002371	HTA11_13109_2000009901		10169-XZ-0109_S1_L005_R2_001.fastq.gz	FASTQ	2644130562	0fa89fa0cc86e5fe9c466231d5801f78	WXS; RNA-Seq	syn55258818									
file	phs002371	HTA11_13678_2000009901		10169-XZ-0110_S1_L005_R1_001.fastq.gz	FASTQ	2204917576	5b00b919214743843d56dbb3bc25b367	WXS; RNA-Seq	syn55258821									
file	phs002371	HTA11_13678_2000009901		10169-XZ-0110_S1_L005_R2_001.fastq.gz	FASTQ	2293001165	ea40726aca49bccb855a36b8e95b3353	WXS; RNA-Seq	syn55258824									
file	phs002371	HTA11_13708_2000009901		10169-XZ-0111_S1_L005_R1_001.fastq.gz	FASTQ	2264208908	1a6cbca92ac99aec07ef17c7fe5fe993	WXS; RNA-Seq	syn55258827									
file	phs002371	HTA11_13708_2000009901		10169-XZ-0111_S1_L005_R2_001.fastq.gz	FASTQ	2389387932	a982e159db27feecc5662972b9b338d5	WXS; RNA-Seq	syn55258830									
file	phs002371	HTA11_13794_2000009901		10169-XZ-0112_S1_L005_R1_001.fastq.gz	FASTQ	2299145007	7e23caa764a8127b8cbce02ea7205025	WXS; RNA-Seq	syn55258833									
file	phs002371	HTA11_13794_2000009901		10169-XZ-0112_S1_L005_R2_001.fastq.gz	FASTQ	2412742109	838d3ff86ba73a90810c828c71500889	WXS; RNA-Seq	syn55258836									
file	phs002371	HTA11_14015_2000009901		10169-XZ-0113_S1_L005_R1_001.fastq.gz	FASTQ	2117667391	c603dde1eb42dc98e2250f93b1b964b0	WXS; RNA-Seq	syn55258840									
file	phs002371	HTA11_14015_2000009901		10169-XZ-0113_S1_L005_R2_001.fastq.gz	FASTQ	2184998592	e8ee0dc69d11545d19b57469eb26fdbb	WXS; RNA-Seq	syn55258843									
file	phs002371	HTA11_14651_2000009901		10169-XZ-0114_S1_L005_R1_001.fastq.gz	FASTQ	2257231050	b73fd0b889af1b52473b7aa430dbaebb	WXS; RNA-Seq	syn55258846									
file	phs002371	HTA11_14651_2000009901		10169-XZ-0114_S1_L005_R2_001.fastq.gz	FASTQ	2402269333	29935f4039a8ab6a7ff6d9e47fe72f14	WXS; RNA-Seq	syn55258849									
file	phs002371	HTA11_9531_2000002021		10169-XZ-0115_S1_L005_R1_001.fastq.gz	FASTQ	2475065678	b2146c28d071d11ae68f3f52c1ca72b0	WXS; RNA-Seq	syn55258852									
file	phs002371	HTA11_9531_2000002021		10169-XZ-0115_S1_L005_R2_001.fastq.gz	FASTQ	2596816014	6c294f74806204d0e5828dd64f998a07	WXS; RNA-Seq	syn55258855									
file	phs002371	HTA11_10034_2000002022		10169-XZ-0116_S1_L005_R1_001.fastq.gz	FASTQ	2064464527	8a6053b920cd962b84d639b153fc6587	WXS; RNA-Seq	syn55258858									
file	phs002371	HTA11_10034_2000002022		10169-XZ-0116_S1_L005_R2_001.fastq.gz	FASTQ	2166533559	b6467cf3334336642b6500965696166a	WXS; RNA-Seq	syn55258860									
file	phs002371	HTA11_12167_2000002021		10169-XZ-0117_S1_L005_R1_001.fastq.gz	FASTQ	1850735744	0f031da8b3302301fc0c1b254794b06a	WXS; RNA-Seq	syn55258869									
file	phs002371	HTA11_12167_2000002021		10169-XZ-0117_S1_L005_R2_001.fastq.gz	FASTQ	1906248044	a027245ca60e6326010d50822b54ac11	WXS; RNA-Seq	syn55258876									
file	phs002371	HTA11_12399_2000002021		10169-XZ-0118_S1_L005_R1_001.fastq.gz	FASTQ	2309173058	733a766c6a3a849b19ab111c7d8c700f	WXS; RNA-Seq	syn55258886									
file	phs002371	HTA11_12399_2000002021		10169-XZ-0118_S1_L005_R2_001.fastq.gz	FASTQ	2575268229	28f09dda4d63b06aee227a25319d326d	WXS; RNA-Seq	syn55258894									
file	phs002371	HTA11_13701_2000002011		10169-XZ-0119_S1_L005_R1_001.fastq.gz	FASTQ	2253923577	9dd3035377f312d68061fd490e9f7038	WXS; RNA-Seq	syn55258906									
file	phs002371	HTA11_13701_2000002011		10169-XZ-0119_S1_L005_R2_001.fastq.gz	FASTQ	2361261203	af185e6855b294d988166c2f44ef618c	WXS; RNA-Seq	syn55258917									
file	phs002371	HTA11_999999003_2		10405-AS-0001_S1_L005_R1_001.fastq.gz	FASTQ	5145067831	237f0f07d4952cba1ca8fba552a6203a	WXS; RNA-Seq	syn68380703									
file	phs002371	HTA11_999999003_2		10405-AS-0001_S1_L005_R2_001.fastq.gz	FASTQ	5450353482	3a630c8faa9c099b5c0f46d4d1a22555	WXS; RNA-Seq	syn68380728									
file	phs002371	HTA11_999999003_1		10405-AS-0002_S1_L005_R1_001.fastq.gz	FASTQ	4746025320	ecd5589e2d978f5a02859fe7997b0091	WXS; RNA-Seq	syn68381280									
file	phs002371	HTA11_999999003_1		10405-AS-0002_S1_L005_R2_001.fastq.gz	FASTQ	5053158798	b2da815dd93897feb3130f2d4c8a87c2	WXS; RNA-Seq	syn68381297									
file	phs002371	HTA11_999999058_2		10405-AS-0013_S1_L005_R1_001.fastq.gz	FASTQ	6392946211	5349b6b35c279b39cc8aa3ad34468787	WXS; RNA-Seq	syn68380880									
file	phs002371	HTA11_999999058_2		10405-AS-0013_S1_L005_R2_001.fastq.gz	FASTQ	6857319102	70d75c079c3db71a9df7cd875d58aa7e	WXS; RNA-Seq	syn68380905									
