type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA9_29_32	0000447031_R2.fastq.gz	FASTQ	1063574027	992e87e04a6ac1c0e8f0f718742be701	WXS; RNA-Seq	syn68528013									
file	phs002371	HTA9_32_2	0000319997.bam	BAM	14350872150	4c6e34f9ee64670ba72ffcdcb3ad48e4	WXS; RNA-Seq	syn68528078									
file	phs002371	HTA9_34_4	0000320245.bam	BAM	10520624316	8a5fe6b675b1288636a3982af85f04c5	WXS; RNA-Seq	syn68528185									
file	phs002371	HTA9_34_3	0000320296.bam	BAM	13963181089	20d369832b48f10ee809e2604c71b6a7	WXS; RNA-Seq	syn68528223									
file	phs002371	HTA9_25_20	0000321972.bam	BAM	11534532608	52f33cac161ffa7942c302e984b352c6	WXS; RNA-Seq	syn68528286									
file	phs002371	HTA9_26_21	0000340456.bam	BAM	18223343973	1a7fa4c49740eea4af066ffe2cb0c148	WXS; RNA-Seq	syn68528334									
file	phs002371	HTA9_38_1	0000340463.bam	BAM	18170651552	c3a9583d35e3c0104c25d5df1577ba44	WXS; RNA-Seq	syn68528399									
file	phs002371	HTA9_36_1	0000346152.bam	BAM	12145446535	64afc534420748d2ebef014553b2b528	WXS; RNA-Seq	syn68528400									
file	phs002371	HTA9_27_21	0000303169.bam	BAM	529016503	78a7d853fce8872ca9839170ad40fa9a	WXS; RNA-Seq	syn68528204									
file	phs002371	HTA9_30_1	0000320079.bam	BAM	1264959533	265281e68e1fba4b698f70d2ca920b8e	WXS; RNA-Seq	syn68528222									
file	phs002371	HTA9_34_4	0000320245.bam	BAM	902602756	45645679fdb0b8c132473992530e59c5	WXS; RNA-Seq	syn68528229									
file	phs002371	HTA9_40_4	0000322035.bam	BAM	1380665068	c783e04ce1243d92ab282dac9d41a471	WXS; RNA-Seq	syn68528255									
file	phs002371	HTA9_40_2	0000340469.bam	BAM	1206482198	6383b228cf4af2618365a34d119173e1	WXS; RNA-Seq	syn68528270									
file	phs002371	HTA9_36_1	0000346152.bam	BAM	915081620	3b9f5de7a03db12246f5f9ac19157643	WXS; RNA-Seq	syn68528272									
file	phs002371	HTA9_18_41	0000382886.bam	BAM	2709356247	129fcc8f7d1cf97dad777d595cc35db9	WXS; RNA-Seq	syn68528298									
file	phs002371	HTA9_14_92	0000424126.bam	BAM	2179854870	4f933314ab4b8128302b7a9e09301525	WXS; RNA-Seq	syn68528308									
