type	study.study_id	sample.sample_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityid	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371_HTAN	HTA9_17_70	434976.ome.tif	OME-TIFF	380435601	2a92c2f2a9ddb96f553858a846815097	Pathological	syn66271876									
file	phs002371_HTAN	HTA9_17_71	434979.ome.tif	OME-TIFF	517333550	26185ce17154a78a8dc982d34bde3105	Pathological	syn66271885									
file	phs002371_HTAN	HTA9_1_164	434983.ome.tif	OME-TIFF	96528990	22b8d8a681202f5ac0388c7846823c2d	Pathological	syn68516803									
file	phs002371_HTAN	HTA9_1_164	434983_ROI01.ome.tif	OME-TIFF	57638103	d374f1fb0485987661bc82f92b7ca1ad	Pathological	syn68516804									
file	phs002371_HTAN	HTA9_1_164	434983_ROI02.ome.tif	OME-TIFF	55268837	51ed7136fabb6e7e201aef9f31a04b18	Pathological	syn68516805									
file	phs002371_HTAN	HTA9_14_90	438093.ome.tif	OME-TIFF	295055950	66a2b5756903fa4c05f325c961b7fc0d	Pathological	syn66271897									
file	phs002371_HTAN	HTA9_10_58	438858.ome.tif	OME-TIFF	57091682	5f98509790bf9a1f537995e306d2340c	Pathological	syn66271904									
file	phs002371_HTAN	HTA9_23_14	445029.ome.tif	OME-TIFF	1614805101	5dd1a4b9fe6043e6b47d03b6fa7f7232	Pathological	syn66271910									
file	phs002371_HTAN	HTA9_24_9	445037.ome.tif	OME-TIFF	392870498	ff74e7990a81876b12ade58797aa3cee	Pathological	syn66271915									
file	phs002371_HTAN	HTA9_24_9	445037_ROI01.ome.tif	OME-TIFF	32561602	c98054fbab31ba9abf9d455d3b5ac0e1	Pathological	syn66271916									
file	phs002371_HTAN	HTA9_24_9	445037_ROI02.ome.tif	OME-TIFF	51043536	29dd38ca7980baf52b185395cd30e4f5	Pathological	syn66271918									
file	phs002371_HTAN	HTA9_24_9	445037_ROI03.ome.tif	OME-TIFF	28584019	8f349bca882b3a8e9af03687ff7cabc0	Pathological	syn66271919									
file	phs002371_HTAN	HTA9_24_9	445037_ROI04.ome.tif	OME-TIFF	25275305	d77c81988ef5ff9fa7c7b0bd3b6ae86f	Pathological	syn66271921									
file	phs002371_HTAN	HTA9_24_9	445037_ROI05.ome.tif	OME-TIFF	38890531	0d3d92b2b7d044f3bf5a93a8f5b9da71	Pathological	syn66271922									
file	phs002371_HTAN	HTA9_24_9	445037_ROI06.ome.tif	OME-TIFF	26397337	c8d155b4aba916f76d48e51c6d97886e	Pathological	syn66271924									
file	phs002371_HTAN	HTA9_24_17	445045.ome.tif	OME-TIFF	314924471	c56d1cd0be67598867787db38eaf1648	Pathological	syn66271926									
file	phs002371_HTAN	HTA9_24_17	445045_ROI01.ome.tif	OME-TIFF	44771290	12043f18e7a7cf2ff7a5dcb3ea80a853	Pathological	syn66271927									
file	phs002371_HTAN	HTA9_24_17	445045_ROI02.ome.tif	OME-TIFF	28758350	367c15f0b7cadd3c2e4c0b18534f42b8	Pathological	syn66271928									
file	phs002371_HTAN	HTA9_24_17	445045_ROI03.ome.tif	OME-TIFF	33497089	e7dd0b786d1f3c9fdaf33e8c944c1413	Pathological	syn66271929									
file	phs002371_HTAN	HTA9_24_17	445045_ROI04.ome.tif	OME-TIFF	23871649	b4adee48885e0c93a759a7647d1582ab	Pathological	syn66271930									
file	phs002371_HTAN	HTA9_25_6	445053.ome.tif	OME-TIFF	708628847	7213cf6bebb7b9d1a9e26cc42b3d5aa4	Pathological	syn68516809									
file	phs002371_HTAN	HTA9_25_14	445061.ome.tif	OME-TIFF	332193504	5839cd74b764456f4f29012fad53fee3	Pathological	syn68516810									
file	phs002371_HTAN	HTA9_26_6	445069.ome.tif	OME-TIFF	432813882	814dc93e9d8f4a6e9be7904ef0e5a294	Pathological	syn68516829									
file	phs002371_HTAN	HTA9_26_14	445077.ome.tif	OME-TIFF	458089818	c957f7eec9d6ed3e9af5ac3142467850	Pathological	syn68516845									
file	phs002371_HTAN	HTA9_27_14	445093.ome.tif	OME-TIFF	413065313	159e8fb9d141d720083343263fde2edd	Pathological	syn66271933									
file	phs002371_HTAN	HTA9_29_16	468809.ome.tif	OME-TIFF	586697698	25d2f1aea1997be6fdf0d7630593ecda	Pathological	syn68516865									
file	phs002371_HTAN	HTA9_29_16	468809_ROI01.ome.tif	OME-TIFF	62044977	222469b5ee1199463febc74e117c34cb	Pathological	syn68516863									
file	phs002371_HTAN	HTA9_29_16	468809_ROI02.ome.tif	OME-TIFF	41176065	00c61a3f425ff01ac721afe565c308b6	Pathological	syn68516864									
file	phs002371_HTAN	HTA9_29_16	468809_ROI03.ome.tif	OME-TIFF	52535704	6ec80a2a6468c3f549f7c7380ce33b15	Pathological	syn68516866									
file	phs002371_HTAN	HTA9_29_16	468809_ROI04.ome.tif	OME-TIFF	59028236	96bf989af395ab813004965215d48836	Pathological	syn68516867									
file	phs002371_HTAN	HTA9_45_23	471278.ome.tif	OME-TIFF	957101339	11d4eee717572036c6891678f3f8ec1e	Pathological	syn68516875									
file	phs002371_HTAN	HTA9_45_23	471278_ROI01.ome.tif	OME-TIFF	34906393	195c24ec899fb35d6209235c00294e37	Pathological	syn68516871									
file	phs002371_HTAN	HTA9_45_23	471278_ROI02.ome.tif	OME-TIFF	41477174	462b47eb377db5c10a4963856449d235	Pathological	syn68516872									
file	phs002371_HTAN	HTA9_45_23	471278_ROI03.ome.tif	OME-TIFF	52896228	1243c056aebc9751c7ddf4c404e22f72	Pathological	syn68516873									
file	phs002371_HTAN	HTA9_45_23	471278_ROI04.ome.tif	OME-TIFF	45133505	1878a4439c4d6cfab66823fc70437ca4	Pathological	syn68516874									
file	phs002371_HTAN	HTA9_45_23	471278_ROI05.ome.tif	OME-TIFF	40916628	fcbd13e0100ade5a55acbd6b9a0856cc	Pathological	syn68516876									
file	phs002371_HTAN	HTA9_45_23	471278_ROI06.ome.tif	OME-TIFF	53362441	1dc4c0cad0bcf8b44b00c134bac8a35f	Pathological	syn68516877									
file	phs002371_HTAN	HTA9_45_24	471288.ome.tif	OME-TIFF	571650110	0d5f08c6fb3f840c6eb0e78b4afbcdce	Pathological	syn68516879									
file	phs002371_HTAN	HTA9_45_24	471288_ROI01.ome.tif	OME-TIFF	22127846	ba2e078a764dddd1d78ed620ca530865	Pathological	syn68516878									
file	phs002371_HTAN	HTA9_29_62	491753.ome.tif	OME-TIFF	817660087	275d03b303e539fde8eb1cc65ae22c1e	Pathological	syn68516886									
file	phs002371_HTAN	HTA9_29_62	491753_ROI01.ome.tif	OME-TIFF	48984362	1290427b0de09a37fdae454b937a6962	Pathological	syn68516881									
file	phs002371_HTAN	HTA9_29_62	491753_ROI02.ome.tif	OME-TIFF	51791823	27070a481c59c3d394ec16b1c5f0f79e	Pathological	syn68516882									
file	phs002371_HTAN	HTA9_29_62	491753_ROI03.ome.tif	OME-TIFF	53173151	11d4970db21b6161f25bab57042a9d41	Pathological	syn68516883									
file	phs002371_HTAN	HTA9_29_62	491753_ROI04.ome.tif	OME-TIFF	49696571	98f61decc1fbb89a2c0c037621a9fd37	Pathological	syn68516884									
file	phs002371_HTAN	HTA9_29_61	491761.ome.tif	OME-TIFF	894190766	27a9dd062684f83c6fb89300804742cd	Pathological	syn68516889									
file	phs002371_HTAN	HTA9_29_61	491761_ROI01.ome.tif	OME-TIFF	38338394	77dbc85f744bc935181fdbdc652daff2	Pathological	syn68516887									
file	phs002371_HTAN	HTA9_29_61	491761_ROI02.ome.tif	OME-TIFF	53295763	15b1f81628acf0772f68c0c50e529fe6	Pathological	syn68516888									
file	phs002371_HTAN	HTA9_36_12	504171.ome.tif	OME-TIFF	3388743825	a6843b5a133973af539dbdc1c93281e4	Pathological	syn68516912									
file	phs002371_HTAN	HTA9_36_12	504171_ROI01.ome.tif	OME-TIFF	47874803	60b746fa15322550f6225f68b6535e67	Pathological	syn68516891									
file	phs002371_HTAN	HTA9_36_12	504171_ROI02.ome.tif	OME-TIFF	36572790	7911f5e235cf4baee1bff524f9ea0f8a	Pathological	syn68516892									
file	phs002371_HTAN	HTA9_36_12	504171_ROI03.ome.tif	OME-TIFF	66933863	0132ca542221cc78e86739a82d31f1cd	Pathological	syn68516893									
file	phs002371_HTAN	HTA9_36_12	504171_ROI04.ome.tif	OME-TIFF	66294662	13b1014db6aae0c8bfb7ad68c17dc6f7	Pathological	syn68516894									
file	phs002371_HTAN	HTA9_36_12	504171_ROI05.ome.tif	OME-TIFF	81915119	332302173904fca1d9543637c9ed331c	Pathological	syn68516895									
